Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,control_T1,control_T2,control_T3,control_T4,rad21_T1,rad21_T2,rad21_T3,rad21_T4
CG13494,65.87839087,-1.757152572,0.322301539,-5.451890103,4.98E-08,3.97E-06,61.88725884,133.0192378,104.2591295,101.6508103,44.35842811,24.25360963,34.3777814,23.22087142
CG43051,544.3668975,1.378134955,0.252729092,5.453012721,4.95E-08,3.97E-06,265.9479502,310.643729,258.218056,367.2740585,931.5269903,1101.113877,582.9275976,537.2829214
SP1029,400.119855,1.617724168,0.297691324,5.434233516,5.50E-08,4.26E-06,252.5669212,146.5601183,172.9552933,211.7725214,837.2653305,582.086631,301.9266018,695.8254228
Kaz1-ORFB,82.17133949,1.881515331,0.346262968,5.433775778,5.52E-08,4.26E-06,25.08942926,42.21568624,30.48254211,37.5139895,177.4337124,169.7752674,111.6032324,63.25685661
Cc2d2a,207.5178503,-1.593788047,0.293275004,-5.434448977,5.50E-08,4.26E-06,351.2520096,332.1498333,367.1158333,199.6712344,94.26165973,109.1412433,142.4934128,64.05757632
CG30154,364.2239113,1.136352347,0.20979399,5.416515252,6.08E-08,4.66E-06,163.9176045,234.9741027,262.6358157,235.9750952,582.2043689,611.1909626,414.5262916,408.367049
Mur2B,1707.569458,0.917970322,0.169607258,5.412329246,6.22E-08,4.73E-06,1045.392886,969.3677388,1267.234378,1435.817695,2306.638262,2614.539118,2099.03758,1922.528009
CG13482,2246.691991,1.733166453,0.320336637,5.410453416,6.29E-08,4.74E-06,1135.714831,804.4876058,1265.90905,942.0851879,5505.989889,4261.359211,2213.131956,1844.858198
CG6867,134.2664552,1.680845373,0.311560145,5.394930635,6.86E-08,5.13E-06,100.357717,51.77395483,47.71180505,56.27098425,282.7849792,189.1781551,125.0554077,220.9986383
Sirup,205.6130966,-1.293707775,0.240080899,-5.388632658,7.10E-08,5.27E-06,349.579381,207.0958193,334.4244113,263.8080552,171.8889089,99.43979947,118.5784344,100.089963
AttD,137.7252844,2.6202202,0.486802199,5.382515129,7.35E-08,5.41E-06,33.45257235,22.30262669,66.48728389,28.4380243,327.1434073,344.4012567,218.7224063,60.8546975
feo,46.22697721,-1.628935905,0.302724984,-5.380910038,7.41E-08,5.42E-06,86.9766881,61.33222341,64.05751604,62.32162771,33.26882108,19.4028877,18.43446249,24.02159112
CG33253,118.4484871,1.680081719,0.312683016,5.373114735,7.74E-08,5.61E-06,51.85148714,43.01220863,66.04550791,57.48111294,243.9713546,242.5360963,140.9987266,101.6914024
CG5348,162.3238676,1.24515628,0.231970796,5.367728627,7.97E-08,5.74E-06,68.57777331,110.7166111,99.84136982,107.0963894,216.247337,167.3499064,294.9513998,233.8101536
polo,240.2896529,-1.428640312,0.26629639,-5.364850464,8.10E-08,5.79E-06,449.9370981,259.6662965,429.4062454,273.4890847,110.8960703,97.01443851,171.3906783,130.5173117
Gpb5,62.84622471,1.55439044,0.290362655,5.353272585,8.64E-08,6.13E-06,33.45257235,32.65741766,25.18123044,32.06841038,138.6200878,89.73835562,63.77327564,87.27844773
brp,1156.106803,1.552761433,0.29150019,5.326793899,1.00E-07,6.98E-06,643.9620177,440.4768772,697.1224849,561.4997138,2628.236865,1651.670816,869.907338,1755.978311
CG9328,232.0896307,-1.695923204,0.318376268,-5.326788999,1.00E-07,6.98E-06,282.6742363,401.4472805,288.9214861,462.8742252,60.99283865,63.05938503,139.0058117,157.7417817
Tsp42Ed,1703.817904,1.221460616,0.22939972,5.324595062,1.01E-07,7.02E-06,955.0709405,1056.188678,1153.035289,913.0420992,3232.620448,2854.649853,1881.311631,1584.624294
TrpA1,1467.959955,1.383489057,0.26051501,5.310592494,1.09E-07,7.52E-06,929.9815112,657.1309651,886.6443771,773.2722351,2833.394595,2301.667554,1107.562435,2254.025967
SoYb,50.26336251,1.441857657,0.271899309,5.302910333,1.14E-07,7.79E-06,28.43468649,27.87828337,26.72744635,21.17725214,99.80646324,72.76082888,65.26796179,60.0539778
TM4SF,70.2545069,1.598153645,0.302150877,5.289257015,1.23E-07,8.34E-06,43.48834405,33.45394004,30.04076614,35.09373211,77.62724919,150.3723797,70.25024894,121.709395
Arc1,3603.347714,1.868354862,0.3542958,5.273432148,1.34E-07,9.02E-06,824.6059083,1310.279318,2634.531013,1418.875893,7823.717757,7377.948048,3807.962076,3628.861698
Idgf3,157.1620302,3.578748227,0.680340864,5.260228238,1.44E-07,9.63E-06,28.43468649,19.91305955,15.68304703,32.67347472,582.2043689,383.2070321,111.1050037,84.07556892
Ilp7,8.994941674,-6.029380912,1.149938939,-5.243218319,1.58E-07,1.05E-05,13.38102894,19.91305955,27.16922232,11.49622259,0,0,0,0
stac,466.3323969,1.108767892,0.211699636,5.237457707,1.63E-07,1.07E-05,245.8764067,305.0680723,294.2227978,324.3144898,787.3620989,751.8618984,598.3726878,423.5807234
l(1)G0289,515.2524344,0.942998993,0.180352622,5.228640317,1.71E-07,1.12E-05,419.8297829,337.7254899,378.3811206,268.6485699,781.8172954,737.3097326,599.3691453,598.9383386
DopEcR,446.4285325,1.342697733,0.257741286,5.209478673,1.89E-07,1.23E-05,294.3826366,190.3688493,280.0859667,241.4206743,765.1828849,647.571377,363.7069626,788.7089084
E(spl)mgamma-HLH,30.11260151,-2.157997941,0.41458523,-5.205197355,1.94E-07,1.25E-05,60.21463022,39.8261191,59.63975631,43.56463296,5.544803513,4.850721925,14.44863276,12.81151526
CG32091,626.5706808,-1.076409647,0.206848643,-5.20385162,1.95E-07,1.25E-05,911.5825964,731.2075466,816.8437734,957.8168609,332.6882108,346.8266177,566.48605,349.1137909
mex1,407.1269013,1.078055854,0.207349739,5.199214904,2.00E-07,1.28E-05,270.965836,230.9914908,295.7690137,235.3700309,743.0036708,594.2134358,403.0670312,483.6347012
drpr,917.0159081,-0.734501299,0.141484012,-5.191408475,2.09E-07,1.32E-05,1042.047629,1340.547169,1019.398057,1184.715991,632.1076005,761.5633423,711.9688351,643.778642
